ime,oznaka,tezavnost,avtor,stevilo_sestavin,cas_priprave,cas_kuhanja,skupni_cas,dolzina_navodil,energija_100g,energija_porcija
Skutin zdrobov kolač z jabolki,Sladice,1,M. J.,13,15,50,65,1456,178.89,287.0
Široki rezanci s kremno orehovo omako,Na hitro,1,M. J.,7,5,15,20,1224,360.38,702.75
Milijonska juha,Juhe in jedi na žlico,1,Sanja Sirk,7,10,22,32,515,112.32,139.0
Jabolčne rezine s kislo smetano,Sladice,1,Su. S.,9,30,40,70,861,194.74,518.75
"Kolač temne čokolade s kavo, pekan orehi in javorjevo karamelo",Sladice,1,Kult316,13,10,40,50,835,366.42,488.0
Sailsbury zrezek v gobovi omaki,Kosilo,1,M. J.,18,15,15,30,1950,192.05,69.23
Srbska solata,Domači pripravki,1,V. H.,9,45,15,60,853,21.63,99.88
Bakala v omaki s polento,Slovenska,1,Sanja Sirk,10,10,10,20,899,126.36,480.0
Preprosta goveja enolončnica s krompirjem,Kosilo,1,Su. S.,17,20,90,110,1080,135.27,961.5
Bučni kruhki,Jesen,2,M. J.,8,120,40,160,1389,206.13,279.33
Palačinke z jabolki in jogurtom,Sladice,1,M. J.,12,10,15,25,1401,133.57,285.75
Narastek z zeljem,Kaj skuhati,1,M. J.,10,15,55,70,921,156.49,491.0
Golaž s kruhovimi cmoki,Kosilo,1,Sanja Sirk,23,15,160,175,2062,133.33,1231.0
Polnjena svinjska ribica s pečenim krompirjem,Kosilo,2,Su. S.,10,30,30,60,1008,165.83,337.25
Zapečene krpice s šunko in sirom,Testenine in žita,1,M. J.,9,10,50,60,1151,273.47,817.0
Zdrobov koh,Sladice,1,Su. S.,8,15,20,35,859,210.53,215.0
Italijanska limonina torta,Sladice,1,Sanja Sirk,13,15,55,70,1458,245.33,243.0
Bučni njoki s hitro sirovo omako,Kosilo,1,Su. S.,13,30,10,40,1661,145.11,671.5
Rahli zdrobovi žličniki (knedlčki),Testenine in žita,1,M. J.,5,25,15,40,1128,327.78,132.75
Ocvrta jabolka s cimetom,Sladice,1,M. J.,10,15,15,30,836,69.54,140.0
Pečena prosena kaša z jabolki in skuto,Sladice,1,M. J.,13,15,60,75,1359,92.12,383.83
Mongolska govedina,Azijska,1,M. J.,10,10,10,20,1324,206.43,407.25
Jabolčna pita z rahlo kremo,Sladice,1,Su. S.,12,35,45,80,1181,185.64,556.0
Golaževa juha,Juhe in jedi na žlico,1,M. J.,12,20,85,105,1565,106.66,309.0
Kremna juha iz hokaido buče,Juhe in jedi na žlico,1,M. J.,8,10,40,50,1077,43.22,122.5
Z zelenjavo in rižem polnjeni jajčevci,Brez mesa,1,Sanja Sirk,28,15,45,60,2056,60.91,376.75
Slivovo pecivo z drobljencem,Sladice,1,M. J.,13,20,35,55,1353,257.64,548.33
Jabolčna pita naših babic,Jesen,1,M. J.,12,45,50,95,1647,205.04,457.75
Toskanska paradižnikova juha s kruhom (Pappa al Pomodoro),Juhe in jedi na žlico,1,M. J.,8,15,53,68,1483,58.35,196.75
Kremni njoki s piščančjimi kroglicami,Kosilo,1,M. J.,23,20,25,45,2137,146.12,581.0
Zapečeni njoki z bolonjsko omako,Na hitro,1,Su. S.,2,5,20,25,772,197.84,618.25
Pečena ovsena kaša z jabolki in rozinami,Zajtrk,1,Su. S.,11,5,40,45,742,211.5,441.75
Makaronovo meso (makaronflajš),Kaj skuhati,1,Su. S.,12,10,40,50,758,211.09,793.0
Polnjeni lignji s pršutom in sirom,Ribe in morski sadeži,1,Sanja Sirk,9,15,35,50,1747,138.39,492.67
Hitra paradižnikova pita z listnatim testom,Poletje,2,M. J.,10,15,20,35,1544,151.89,287.33
Lazanja z bučkami in paradižnikom,Testenine in žita,1,M. J.,8,30,52,82,1160,127.76,475.25
Jajčevci s sirom v paradižnikovi omaki,Zelenjava,2,M. J.,13,14,90,104,2015,99.22,477.25
Slivovi cmoki iz skutnega testa,Slovenska,2,K. I.,8,50,10,60,1422,332.27,679.5
Pirina solata z zelenjavo in mocarelo,Brez mesa,1,Su. S.,13,15,25,40,631,118.25,380.5
Turška umešana jajca z zelenjavo (menemen),Jajčne jedi,1,M. J.,8,10,20,30,1102,62.37,392.0
